dx,dy
0.08802032470703125,0.5713638305664063
0.08831024169921875,0.5709747314453125
0.08965301513671875,0.5710491180419922
0.0915069580078125,0.5710205078125
0.08835601806640625,0.5155557632446289
0.1103668212890625,0.24628868103027346
0.088653564453125,0.5155185699462891
0.09295654296875,0.567572021484375
0.1124725341796875,0.24612274169921877
0.078369140625,0.5216297149658203
0.0957183837890625,0.5677722930908203
0.115234375,0.24610748291015627
0.0288848876953125,0.3444236755371094
0.07894134521484375,0.5216831207275391
0.0988006591796875,0.5681690216064453
0.118682861328125,0.24626770019531252
0.029460906982421875,0.34410896301269533
0.07982635498046875,0.5216325759887696
0.1225738525390625,0.2465709686279297
0.0305633544921875,0.3436001777648926
0.08153533935546875,0.5213321685791016
0.031925201416015625,0.3430203437805176
0.08406829833984375,0.5208038330078125
0.1216888427734375,0.20840206146240237
0.03371429443359375,0.34238567352294924
0.0876312255859375,0.5202163696289063
0.12436676025390625,0.20775833129882815
0.036113739013671875,0.34179487228393557
0.09188079833984375,0.5197452545166016
0.12824249267578125,0.20712223052978518
0.0391387939453125,0.3413390159606934
0.13300323486328125,0.2065013885498047
0.10973358154296875,0.5069068908691406
0.0003662109375,0.21740236282348635
0.022247314453125,0.3525723457336426
0.110198974609375,0.5067914962768555
0.0015716552734375,0.2175454139709473
0.109893798828125,0.5062021255493164
0.14655303955078125,0.2994865417480469
0.0033721923828125,0.21746673583984377
0.110107421875,0.5057634353637696
0.18605804443359375,0.15326538085937502
0.14771270751953125,0.2995037078857422
0.0056915283203125,0.21731319427490237
0.11133193969726562,0.5059370040893555
0.18648910522460938,0.15360107421875002
0.0079193115234375,0.6108135223388672
0.1497802734375,0.2996238708496094
0.008758544921875,0.21714200973510744
0.11346817016601562,0.506257438659668
0.1878509521484375,0.15395393371582033
0.00704193115234375,0.6109508514404297
0.06383514404296875,0.23010292053222658
0.13941192626953125,0.30596580505371096
0.01104736328125,0.217530632019043
0.11652755737304688,0.5064872741699219
0.19025039672851562,0.15397109985351565
0.007659912109375,0.6110614776611328
0.06439971923828125,0.23029174804687502
0.00777435302734375,0.5811132431030274
0.12048721313476562,0.5065387725830078
0.19337844848632812,0.1535505294799805
0.0117340087890625,0.5815357208251953
0.00946044921875,0.611456298828125
0.06664276123046875,0.23038330078125002
0.00750732421875,0.5808929443359375
0.04238128662109375,0.22811832427978518
0.1970977783203125,0.15276947021484377
0.01226806640625,0.5812057495117188
0.01186370849609375,0.6119884490966797
0.0694427490234375,0.23039283752441408
0.037880897521972656,0.49764289855957033
0.00867462158203125,0.5808509826660156
0.0432586669921875,0.22797908782958987
0.0095062255859375,0.5863059997558594
0.01459503173828125,0.6124805450439453
0.07234954833984375,0.23032989501953127
0.03845643997192383,0.49724998474121096
0.01049041748046875,0.5809673309326172
0.04500579833984375,0.22785415649414065
0.01013946533203125,0.5873264312744141
0.01798248291015625,0.6131729125976563
0.0760040283203125,0.23033752441406252
0.03535294532775879,0.49617996215820315
0.0128326416015625,0.581173324584961
0.04723358154296875,0.22774829864501955
0.022064208984375,0.6140979766845703
0.03604626655578613,0.49610366821289065
0.053455352783203125,0.6118916511535645
0.015838623046875,0.5813621520996094
0.05008697509765625,0.22752227783203127
0.07775115966796875,0.2265800476074219
0.036855459213256836,0.4960063934326172
0.13275146484375,0.5897659301757813
0.056499481201171875,0.6117853164672852
0.01934814453125,0.5814279556274414
0.0534820556640625,0.22710742950439455
0.0009307861328125,0.5842613220214844
0.08003997802734375,0.22677078247070315
0.0327610969543457,0.4939922332763672
0.13423538208007812,0.5897296905517578
0.0474700927734375,0.5528692245483399
0.02333831787109375,0.5813898086547852
0.00371551513671875,0.5842460632324219
0.08206939697265625,0.2263683319091797
0.03385019302368164,0.49387397766113283
0.11599040031433105,0.12817230224609377
0.13631820678710938,0.5896076202392578
0.0492095947265625,0.5554975509643555
0.0074005126953125,0.5843223571777344
0.08538818359375,0.2258628845214844
0.09467315673828125,0.3431591033935547
0.0330662727355957,0.49238433837890627
0.11694955825805664,0.1281932830810547
0.13900375366210938,0.5894416809082031
0.030244827270507812,0.5086664199829102
0.048126220703125,0.5578421592712403
0.08997344970703125,0.22544708251953127
0.0957183837890625,0.34292068481445315
0.03520488739013672,0.49265708923339846
0.11883759498596191,0.12818946838378908
0.14239501953125,0.5892356872558594
0.031023025512695312,0.5084346771240235
0.048980712890625,0.558167839050293
0.06554412841796875,0.5875238418579102
0.053131103515625,0.2351421356201172
0.09752655029296875,0.34274139404296877
0.03823494911193848,0.4929508209228516
