dx,dy
0.08802032470703125,0.5713638305664063
0.08831024169921875,0.5709747314453125
0.08965301513671875,0.5710491180419922
0.0915069580078125,0.5710205078125
0.10009002685546875,0.5300115585327149
0.1103668212890625,0.24628868103027346
0.100494384765625,0.5300439834594727
0.09295654296875,0.567572021484375
0.1124725341796875,0.24612274169921877
0.09912872314453125,0.5309375762939453
0.0957183837890625,0.5677722930908203
0.115234375,0.24610748291015627
0.0939178466796875,0.5323719024658203
0.0988006591796875,0.5681690216064453
0.118682861328125,0.24626770019531252
0.09444427490234375,0.5323432922363281
0.1225738525390625,0.2465709686279297
0.09619903564453125,0.5320772171020508
0.001125335693359375,0.35117425918579104
0.0988006591796875,0.5316328048706055
0.134246826171875,0.2088493347167969
0.003078460693359375,0.35048618316650393
0.102508544921875,0.5311922073364258
0.1371002197265625,0.20823135375976565
0.005641937255859375,0.34986581802368166
0.1068572998046875,0.5308794021606446
0.141143798828125,0.20761146545410158
0.008563995361328125,0.34940328598022463
0.10570144653320312,0.5087150573730469
0.0003662109375,0.21740331649780276
0.10613632202148438,0.5085996627807617
0.0015716552734375,0.21754398345947268
0.10534286499023438,0.5077508926391602
0.15885162353515625,0.29955329895019533
0.0032958984375,0.217469596862793
0.10543441772460938,0.5072254180908203
0.18302536010742188,0.155976676940918
0.15935897827148438,0.29950752258300783
0.0054931640625,0.2173198699951172
0.1066741943359375,0.5073427200317383
0.18353652954101562,0.1562847137451172
0.0079193115234375,0.6108135223388672
0.16080093383789062,0.299658203125
0.008544921875,0.21715536117553713
0.10883331298828125,0.5076116561889649
0.1847076416015625,0.15663948059082033
0.00704193115234375,0.6109508514404297
0.06383514404296875,0.23010292053222658
0.16309738159179688,0.29978790283203127
0.011016845703125,0.21740522384643557
0.11191558837890625,0.5077985763549805
0.18681716918945312,0.15676631927490237
0.007659912109375,0.6110614776611328
0.06439971923828125,0.23029174804687502
0.15690994262695312,0.3016075134277344
0.0113677978515625,0.588741683959961
0.11588287353515625,0.5078205108642578
0.18975067138671875,0.15647830963134768
0.00946044921875,0.611456298828125
0.06664276123046875,0.23038330078125002
0.011627197265625,0.5885414123535156
0.04485321044921875,0.23441352844238283
0.19317626953125,0.15595378875732424
0.022125244140625,0.5950092315673828
0.01186370849609375,0.6119884490966797
0.0694427490234375,0.23039283752441408
0.0306398868560791,0.4968570709228516
0.01280975341796875,0.5885089874267578
0.0459747314453125,0.23426475524902346
0.0218048095703125,0.595455551147461
0.01459503173828125,0.6124805450439453
0.07234954833984375,0.23032989501953127
0.031244754791259766,0.4965080261230469
0.01468658447265625,0.5886959075927735
0.0477447509765625,0.23415222167968752
0.02208709716796875,0.5951789855957031
0.01798248291015625,0.6131729125976563
0.0760040283203125,0.23033752441406252
0.027966737747192383,0.49515953063964846
0.0181732177734375,0.6184343338012696
0.017303466796875,0.5889104843139649
0.0501861572265625,0.23401966094970705
0.01454925537109375,0.5947174072265625
0.022064208984375,0.6140979766845703
0.028633594512939453,0.49510993957519533
0.02037811279296875,0.6178592681884766
0.02059173583984375,0.5891059875488281
0.05335235595703125,0.23374404907226565
0.0156402587890625,0.5942806243896485
0.0294802188873291,0.4950736999511719
0.023288726806640625,0.6176709175109864
0.02447509765625,0.5891717910766602
0.05713653564453125,0.23329105377197268
0.01732635498046875,0.5939315795898438
0.0879669189453125,0.2437786102294922
0.028298139572143555,0.4942230224609375
0.0479736328125,0.5527743339538574
0.01995086669921875,0.5937713623046875
0.08966827392578125,0.24334564208984377
0.02956533432006836,0.494207763671875
0.09647703170776367,0.13066139221191408
0.0500640869140625,0.5565008163452149
0.02359771728515625,0.5937580108642578
0.0926666259765625,0.24280395507812502
0.0943756103515625,0.3434661865234375
0.03127789497375488,0.49439468383789065
0.09806418418884277,0.1307109832763672
0.030244827270507812,0.5086664199829102
0.0482177734375,0.5597437858581543
0.027679443359375,0.5935806274414063
0.09694671630859375,0.2422985076904297
0.09540557861328125,0.34322395324707033
0.03374624252319336,0.4947246551513672
0.10043907165527344,0.13065948486328127
0.031023025512695312,0.5084346771240235
0.0487213134765625,0.5603622436523438
0.0528717041015625,0.5860895156860352
0.046875,0.22817840576171877
0.097198486328125,0.3430656433105469
0.03707432746887207,0.49500312805175783
0.10000228881835938,0.13261070251464846
0.031951904296875,0.5083407402038574
0.05096435546875,0.5601786613464356
0.05310821533203125,0.5860933303833008
0.039989471435546875,0.1963848114013672
0.04682159423828125,0.22836341857910158
0.09966278076171875,0.34302749633789065
0.040815114974975586,0.49526634216308596
0.10367608070373535,0.13213386535644533
